Seoul,Gue,Name,Type,Open,Code,Add,Room,Howbig,Playground,Worker,Max,Now,When,X,Y,old_add,201809
서울특별시,송파구,동부영재어린이집,가정,정상,5698,송파대로37길 29,3,85,0,5,19,16,2007-01-15,127.109084,37.500419,가락1동,37
서울특별시,송파구,가락복지관어린이집,국공립,정상,5698,양재대로 897,4,220,1,12,70,57,1996-03-23,127.106891,37.495573,가락1동,37
서울특별시,송파구,서울시농수산식품공사올본어린이집,직장,정상,5699,양재대로 932,5,155,1,13,58,43,2016-02-26,127.111778,37.492609,가락1동,37
서울특별시,송파구,이솝어린이집,민간,정상,5825,동남로9길 31,3,100,0,8,27,26,1997-10-09,127.126701,37.494865,가락2동,1546
서울특별시,송파구,다래어린이집,민간,정상,5769,오금로42길 9,3,174,1,10,61,28,1998-12-14,127.134342,37.497156,가락2동,1546
서울특별시,송파구,참사랑영재어린이집,가정,정상,5823,동남로 189,3,100,1,2,19,3,2004-12-22,127.128237,37.496975,가락2동,1546
서울특별시,송파구,브니엘어린이집,가정,정상,5823,동남로 189,3,53,0,6,19,19,2006-03-31,127.128237,37.496975,가락2동,1546
서울특별시,송파구,고려서머힐어린이집,민간,정상,5785,동남로18길 44,3,117,0,8,37,31,2000-09-04,127.133532,37.491896,가락2동,1546
서울특별시,송파구,무지개어린이집,가정,정상,5823,동남로 193,3,85,0,6,19,19,2004-05-19,127.128186,37.49556,가락2동,1546
서울특별시,송파구,개롱어린이집,국공립,정상,5820,동남로 225,3,74,1,8,28,28,2009-03-27,127.132103,37.498157,가락2동,1546
서울특별시,송파구,아가랑어린이집,가정,정상,5825,송이로23길 22-20,3,49,0,5,15,13,2011-04-14,127.125757,37.495362,가락2동,1546
서울특별시,송파구,마이메리어린이집,민간,정상,5782,문정로11길 15,3,105,0,7,24,22,2012-07-05,127.133963,37.493729,가락2동,1546
서울특별시,송파구,비테에영재어린이집,가정,정상,5785,오금로46길 51,4,56,0,6,20,19,1996-08-23,127.132734,37.49344,가락2동,1546
서울특별시,송파구,중대어린이집,가정,정상,5770,오금로 432,4,51,0,6,15,15,2005-05-16,127.135884,37.494851,가락2동,1546
서울특별시,송파구,안젤로스어린이집,민간,정상,5769,동남로20길 11,4,131,0,7,30,24,2013-11-25,127.133672,37.496448,가락2동,1546
서울특별시,송파구,실버스푼어린이집,민간,정상,5782,동남로18길 45,4,117,0,7,35,16,2014-04-10,127.134811,37.492843,가락2동,1546
서울특별시,송파구,쌍용어린이집,민간,정상,5823,동남로 193,5,192,1,10,66,60,1997-04-23,127.128253,37.49566,가락2동,1546
서울특별시,송파구,열린이레어린이집,민간,정상,5785,오금로46길 65,5,227,0,11,86,64,1993-08-20,127.131602,37.492576,가락2동,1546
서울특별시,송파구,사랑숲어린이집,민간,정상,5822,중대로20길 8,5,139,0,9,48,41,2011-07-18,127.126827,37.498614,가락2동,1546
서울특별시,송파구,하나둘셋어린이집,민간,정상,5782,동남로20길 32,5,103,0,10,38,38,2013-03-14,127.135126,37.4949,가락2동,1546
서울특별시,송파구,노브랜드노블베이비어린이집,직장,정상,5784,오금로46길 62,7,204,0,18,77,54,2007-12-06,127.131608,37.493036,가락2동,1546
서울특별시,송파구,잠실예닮어린이집,민간,정상,5784,동남로16길 5,7,298,1,15,112,92,2013-02-20,127.13141,37.494539,가락2동,1546
서울특별시,송파구,행복숲어린이집,민간,정상,5782,문정로13길 14,8,226,1,16,85,72,2005-01-31,127.135391,37.494451,가락2동,1546
서울특별시,송파구,은송어린이집,국공립,정상,5827,동남로9길 17-10,8,331,2,19,123,114,2013-12-30,127.126273,37.493807,가락2동,1546
서울특별시,송파구,엘프랜드어린이집,민간,정상,5784,오금로46길 66,9,228,1,10,53,53,2012-02-14,127.131384,37.492809,가락2동,1546
서울특별시,송파구,키즈스쿨어린이집,민간,정상,5823,동남로 193,13,384,2,22,145,141,2007-09-28,127.127934,37.495829,가락2동,1546
서울특별시,송파구,쌍용아이사랑어린이집,민간,정상,5705,송이로15길 33,3,121,0,7,33,30,2000-08-22,127.122703,37.501224,가락본동,1190
서울특별시,송파구,솔빈어린이집,민간,정상,5714,송이로17길 1-1,3,80,0,6,17,13,1993-11-10,127.121562,37.498215,가락본동,1190
서울특별시,송파구,팅커벨어린이집,가정,정상,5707,송이로 88,3,99,1,2,20,5,2007-03-12,127.119051,37.49916,가락본동,1190
서울특별시,송파구,우성예은어린이집,가정,정상,5711,송파대로32길 8,3,59,0,5,20,20,2010-06-18,127.117746,37.496672,가락본동,1190
서울특별시,송파구,아이숲어린이집,민간,정상,5705,오금로36길 36,3,123,0,9,28,27,2012-01-31,127.123421,37.500733,가락본동,1190
서울특별시,송파구,푸른하늘어린이집,가정,정상,5832,중대로12길 35,3,65,0,6,20,20,2012-10-18,127.125722,37.491605,가락본동,1190
서울특별시,송파구,에코빅스맘어린이집,가정,정상,5710,송파대로32길 15,3,95,0,5,20,17,2013-04-16,127.116372,37.496221,가락본동,1190
서울특별시,송파구,리베어린이집,가정,정상,5705,송이로15길 31,3,96,0,6,20,15,2013-10-31,127.121965,37.501452,가락본동,1190
서울특별시,송파구,온새미어린이집,국공립,정상,5707,송이로 88,3,110,0,7,20,19,2018-03-02,127.119051,37.49916,가락본동,1190
서울특별시,송파구,꼬예미키즈어린이집,민간,정상,5704,오금로36길 37,4,136,0,11,39,23,1997-11-03,127.123773,37.500592,가락본동,1190
서울특별시,송파구,도레미어린이집,민간,정상,5714,송이로17길 13,4,90,0,7,34,27,1999-08-16,127.122618,37.49879,가락본동,1190
서울특별시,송파구,신나는꼬마숲어린이집,가정,정상,5710,송파대로32길 15,4,85,0,6,20,19,1998-08-06,127.116482,37.496501,가락본동,1190
서울특별시,송파구,새송이어린이집,민간,정상,5707,양재대로62길 17,4,80,0,9,30,29,2009-02-18,127.118824,37.498266,가락본동,1190
서울특별시,송파구,키즈브레인어린이집,민간,정상,5700,오금로34길 4,5,118,0,9,44,38,2009-02-17,127.125067,37.50316,가락본동,1190
서울특별시,송파구,가락아이뜰어린이집,민간,정상,5832,중대로12길 34,6,191,1,14,72,68,2007-06-05,127.124994,37.49196,가락본동,1190
서울특별시,송파구,가락본동어린이집,국공립,정상,5703,송이로17길 46,8,354,1,24,131,125,2010-01-19,127.124628,37.501013,가락본동,1190
서울특별시,구로구,밝은어린이집,국공립,정상,8317,구로동로7길 66-11,5,233,1,8,47,42,1999-05-01,126.882717,37.486475,가리봉동,205
서울특별시,구로구,호산나어린이집,법인·단체등,정상,8317,구로동로13길 63,5,228,1,9,58,40,1995-06-20,126.881238,37.487055,가리봉동,205
서울특별시,구로구,섬기는어린이집,국공립,정상,8383,우마1다길 25,5,167,2,11,65,55,2001-02-07,126.889655,37.482918,가리봉동,205
서울특별시,구로구,예뜰어린이집,민간,정상,8321,구로동로7길 27,7,395,2,14,92,81,2002-05-27,126.88468,37.486007,가리봉동,205
서울특별시,금천구,구립꼬꼬어린이집,국공립,정상,8520,가산로 99,3,77,5,7,20,20,2016-12-01,126.892511,37.474808,가산동,619
서울특별시,금천구,즐거운Happy어린이집,가정,정상,8521,두산로9길 56,3,77,0,0,18,0,2002-04-24,126.893104,37.472967,가산동,619
서울특별시,금천구,이랜드코코몽 어린이집,직장,정상,8506,가산디지털1로 159,3,119,0,11,39,39,2013-03-26,126.881476,37.479453,가산동,619
서울특별시,금천구,가산중앙어린이집,법인·단체등,정상,8532,시흥대로145길 79,4,219,1,9,64,61,1997-09-10,126.893649,37.475846,가산동,619
서울특별시,금천구,새가산어린이집,법인·단체등,정상,8532,시흥대로153길 85,4,124,0,9,43,19,2007-02-08,126.893949,37.476228,가산동,619
서울특별시,금천구,마리오아울렛어린이집,직장,정상,8511,디지털로9길 23,4,188,3,11,60,51,2012-01-20,126.886461,37.478716,가산동,619
서울특별시,금천구,구립라온어린이집,국공립,정상,8592,가산디지털2로 14,4,131,0,9,49,43,2013-04-01,126.884268,37.469604,가산동,619
