#,시군구명,소재지,면적,용도지역1,이용상황,주위환경,지세명,공시지가,X,Y
1,종로구, 청운동 4-15,416.2,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3120000,126.967416,37.590144
2,종로구, 청운동 8-9,811.3,제1종일반주거지역,연립주택,일반 주택지대,급경사지,2920000,126.966764,37.588967
3,종로구, 청운동 15-12,552.1,제1종일반주거지역,단독주택,고급 주택지대,평지,4320000,126.968597,37.589884
4,종로구, 청운동 15-13,538.8,제1종일반주거지역,단독주택,고급 주택지대,완경사지,3800000,126.969087,37.589681
5,종로구, 청운동 15-32,251.2,제1종일반주거지역,단독주택,일반 주택지대,완경사지,2900000,126.969266,37.590656
6,종로구, 청운동 15-50,462.8,자연녹지지역,단독주택,기존 주택지대,완경사지,1540000,126.969906,37.590229
7,종로구, 청운동 30-15,332.5,제1종일반주거지역,단독주택,기존 주택지대,완경사지,3250000,126.96854,37.58828
8,종로구, 청운동 39-3,138.2,제1종일반주거지역,상업기타,노선 상가지대,평지,4780000,126.96916,37.587664
9,종로구, 청운동 50-31,380,제2종일반주거지역,상업용,노선 상가지대,평지,4870000,126.969583,37.586532
10,종로구, 청운동 50-39,217.9,제1종일반주거지역,단독주택,일반 주택지대,평지,3350000,126.968942,37.587058
11,종로구, 청운동 52-6,175.2,제2종일반주거지역,다세대,일반 주택지대,평지,3840000,126.968496,37.586595
12,종로구, 청운동 52-34,124.3,제2종일반주거지역,단독주택,기존 주택지대,평지,3820000,126.96902,37.58632
13,종로구, 청운동 52-61,115.7,제1종일반주거지역,단독주택,기존 주택지대,평지,3750000,126.967768,37.586831
14,종로구, 청운동 52-107,577.4,제1종일반주거지역,단독주택,일반 주택지대,완경사지,3860000,126.967006,37.587059
15,종로구, 청운동 53-11,643.8,제1종일반주거지역,다세대,고급 주택지대,완경사지,3380000,126.968425,37.58763
16,종로구, 청운동 56-10,514,제1종일반주거지역,단독주택,일반 주택지대,급경사지,3590000,126.966155,37.586394
17,종로구, 청운동 56-75,622.8,제1종일반주거지역,단독주택,일반 주택지대,급경사지,2800000,126.966186,37.585772
19,종로구, 청운동 57-40,281,제2종일반주거지역,단독주택,일반 주택지대,완경사지,3250000,126.968369,37.585927
20,종로구, 청운동 82,280.7,제2종일반주거지역,단독주택,일반 주택지대,평지,3600000,126.970785,37.585578
21,종로구, 청운동 89-5,1057.6,제1종일반주거지역,연립주택,일반 주택지대,평지,3550000,126.972639,37.586667
22,종로구, 청운동 89-22,412.2,제1종일반주거지역,다세대,고급 주택지대,평지,3870000,126.97149,37.585368
23,종로구, 청운동 89-109,601.2,제1종일반주거지역,주거기타,기존 주택지대,평지,3680000,126.972346,37.5857
24,종로구, 청운동 114-1,165.7,제2종일반주거지역,업무용,노선 상가지대,평지,5460000,126.970333,37.585547
25,종로구, 청운동 131,144.4,제2종일반주거지역,상업용,노선 상가지대,평지,5270000,126.96991,37.585021
27,종로구, 신교동 1-22,99.2,제1종일반주거지역,단독주택,기존 주택지대,급경사지,2290000,126.96692,37.585094
