통계표,"4.1.1 시장금리(일별)"
항목명1,"  콜금리(1일, 전체거래)"
단위,"연%"
변환,"원자료"
2018/01/01,""
2018/01/02,"1.52"
2018/01/03,"1.50"
2018/01/04,"1.48"
2018/01/05,"1.47"
2018/01/06,""
2018/01/07,""
2018/01/08,"1.46"
2018/01/09,"1.49"
2018/01/10,"1.51"
2018/01/11,"1.50"
2018/01/12,"1.50"
2018/01/13,""
2018/01/14,""
2018/01/15,"1.50"
2018/01/16,"1.50"
2018/01/17,"1.49"
2018/01/18,"1.49"
2018/01/19,"1.49"
2018/01/20,""
2018/01/21,""
2018/01/22,"1.49"
2018/01/23,"1.49"
2018/01/24,"1.49"
2018/01/25,"1.49"
2018/01/26,"1.49"
2018/01/27,""
2018/01/28,""
2018/01/29,"1.49"
2018/01/30,"1.49"
2018/01/31,"1.54"
2018/02/01,"1.50"
2018/02/02,"1.46"
2018/02/03,""
2018/02/04,""
2018/02/05,"1.48"
2018/02/06,"1.47"
2018/02/07,"1.49"
2018/02/08,"1.47"
2018/02/09,"1.50"
2018/02/10,""
2018/02/11,""
2018/02/12,"1.51"
2018/02/13,"1.51"
2018/02/14,"1.51"
2018/02/15,""
2018/02/16,""
2018/02/17,""
2018/02/18,""
2018/02/19,"1.50"
2018/02/20,"1.48"
2018/02/21,"1.48"
2018/02/22,"1.49"
2018/02/23,"1.47"
2018/02/24,""
2018/02/25,""
2018/02/26,"1.48"
2018/02/27,"1.50"
2018/02/28,"1.51"
2018/03/01,""
2018/03/02,"1.50"
2018/03/03,""
2018/03/04,""
2018/03/05,"1.46"
2018/03/06,"1.43"
2018/03/07,"1.48"
2018/03/08,"1.50"
2018/03/09,"1.49"
2018/03/10,""
2018/03/11,""
2018/03/12,"1.50"
2018/03/13,"1.50"
2018/03/14,"1.50"
2018/03/15,"1.49"
2018/03/16,"1.50"
2018/03/17,""
2018/03/18,""
2018/03/19,"1.50"
2018/03/20,"1.49"
2018/03/21,"1.49"
2018/03/22,"1.50"
2018/03/23,"1.51"
2018/03/24,""
2018/03/25,""
2018/03/26,"1.50"
2018/03/27,"1.48"
2018/03/28,"1.48"
2018/03/29,"1.48"
2018/03/30,"1.54"
2018/03/31,""
2018/04/01,""
2018/04/02,"1.49"
2018/04/03,"1.44"
2018/04/04,"1.46"
2018/04/05,"1.46"
2018/04/06,"1.44"
2018/04/07,""
2018/04/08,""
2018/04/09,"1.48"
2018/04/10,"1.49"
2018/04/11,"1.48"
2018/04/12,"1.48"
2018/04/13,"1.49"
2018/04/14,""
2018/04/15,""
2018/04/16,"1.46"
2018/04/17,"1.47"
2018/04/18,"1.47"
2018/04/19,"1.47"
2018/04/20,"1.47"
2018/04/21,""
2018/04/22,""
