통계표,"6.1.1 주식시장(일별)"
항목명1,"KOSPI지수"
단위,"1980.01.04=100 "
변환,"원자료"
2017/01/01,""
2017/01/02,"2,026.16"
2017/01/03,"2,043.97"
2017/01/04,"2,045.64"
2017/01/05,"2,041.95"
2017/01/06,"2,049.12"
2017/01/07,""
2017/01/08,""
2017/01/09,"2,048.78"
2017/01/10,"2,045.12"
2017/01/11,"2,075.17"
2017/01/12,"2,087.14"
2017/01/13,"2,076.79"
2017/01/14,""
2017/01/15,""
2017/01/16,"2,064.17"
2017/01/17,"2,071.87"
2017/01/18,"2,070.54"
2017/01/19,"2,072.79"
2017/01/20,"2,065.61"
2017/01/21,""
2017/01/22,""
2017/01/23,"2,065.99"
2017/01/24,"2,065.76"
2017/01/25,"2,066.94"
2017/01/26,"2,083.59"
2017/01/27,""
2017/01/28,""
2017/01/29,""
2017/01/30,""
2017/01/31,"2,067.57"
2017/02/01,"2,080.48"
2017/02/02,"2,071.01"
2017/02/03,"2,073.16"
2017/02/04,""
2017/02/05,""
2017/02/06,"2,077.66"
2017/02/07,"2,075.21"
2017/02/08,"2,065.08"
2017/02/09,"2,065.88"
2017/02/10,"2,075.08"
2017/02/11,""
2017/02/12,""
2017/02/13,"2,078.65"
2017/02/14,"2,074.57"
2017/02/15,"2,083.86"
2017/02/16,"2,081.84"
2017/02/17,"2,080.58"
2017/02/18,""
2017/02/19,""
2017/02/20,"2,084.39"
2017/02/21,"2,102.93"
2017/02/22,"2,106.61"
2017/02/23,"2,107.63"
2017/02/24,"2,094.12"
2017/02/25,""
2017/02/26,""
2017/02/27,"2,085.52"
2017/02/28,"2,091.64"
2017/03/01,""
2017/03/02,"2,102.65"
2017/03/03,"2,078.75"
2017/03/04,""
2017/03/05,""
2017/03/06,"2,081.36"
2017/03/07,"2,094.05"
2017/03/08,"2,095.41"
2017/03/09,"2,091.06"
2017/03/10,"2,097.35"
2017/03/11,""
2017/03/12,""
2017/03/13,"2,117.59"
2017/03/14,"2,133.78"
2017/03/15,"2,133"
2017/03/16,"2,150.08"
2017/03/17,"2,164.58"
2017/03/18,""
2017/03/19,""
2017/03/20,"2,157.01"
2017/03/21,"2,178.38"
2017/03/22,"2,168.3"
2017/03/23,"2,172.72"
2017/03/24,"2,168.95"
2017/03/25,""
2017/03/26,""
2017/03/27,"2,155.66"
2017/03/28,"2,163.31"
2017/03/29,"2,166.98"
2017/03/30,"2,164.64"
2017/03/31,"2,160.23"
2017/04/01,""
2017/04/02,""
2017/04/03,"2,167.51"
2017/04/04,"2,161.1"
2017/04/05,"2,160.85"
2017/04/06,"2,152.75"
2017/04/07,"2,151.73"
2017/04/08,""
2017/04/09,""
2017/04/10,"2,133.32"
2017/04/11,"2,123.85"
2017/04/12,"2,128.91"
2017/04/13,"2,148.61"
2017/04/14,"2,134.88"
2017/04/15,""
2017/04/16,""
2017/04/17,"2,145.78"
2017/04/18,"2,148.46"
2017/04/19,"2,138.4"
2017/04/20,"2,149.15"
2017/04/21,"2,165.04"
2017/04/22,""
2017/04/23,""
2017/04/24,"2,173.74"
2017/04/25,"2,196.85"
2017/04/26,"2,207.84"
2017/04/27,"2,209.46"
2017/04/28,"2,205.44"
2017/04/29,""
2017/04/30,""
2017/05/01,""
2017/05/02,"2,219.67"
2017/05/03,""
2017/05/04,"2,241.24"
2017/05/05,""
2017/05/06,""
2017/05/07,""
2017/05/08,"2,292.76"
2017/05/09,""
2017/05/10,"2,270.12"
2017/05/11,"2,296.37"
2017/05/12,"2,286.02"
2017/05/13,""
2017/05/14,""
